"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 04:12:22 UTC 2023","Sun Jun 25 04:12:22 UTC 2023","486","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Jun 25 04:13:01 UTC 2023","Sun Jun 25 04:13:36 UTC 2023","34735","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Jun 25 04:11:27 UTC 2023","Sun Jun 25 04:11:38 UTC 2023","10604","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Jun 25 04:53:25 UTC 2023","Sun Jun 25 04:53:29 UTC 2023","3778","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Jun 25 04:11:53 UTC 2023","Sun Jun 25 04:11:57 UTC 2023","4475","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Jun 25 04:15:22 UTC 2023","Sun Jun 25 04:15:43 UTC 2023","21105","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Jun 25 04:35:43 UTC 2023","Sun Jun 25 04:35:47 UTC 2023","4556","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Jun 25 04:11:57 UTC 2023","Sun Jun 25 04:12:17 UTC 2023","19964","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Jun 25 04:11:20 UTC 2023","Sun Jun 25 04:11:23 UTC 2023","3395","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Jun 25 04:12:17 UTC 2023","Sun Jun 25 04:12:26 UTC 2023","8841","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sun Jun 25 04:11:34 UTC 2023","Sun Jun 25 04:11:38 UTC 2023","4110","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Jun 25 04:58:08 UTC 2023","Sun Jun 25 04:58:11 UTC 2023","3301","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
